t,kind,cell_area_um2,active_area_um2,delay_fall_ps,delay_rise_ps,edyn_fJ,pstat_vdd_in0_uW,pstat_vdd_in1_pW,pstat_wc_uW,wn_chk,wp_chk,wn,wp,reward,terminated,truncated,wn_action,wp_action,wn_used,wp_used
0,reset,3.7536,0.2475,5.000321,18.960810000000002,1.96807,1.295751,4.770238,1.295751,0.65,1.0,0.6499999761581421,1.0,,,,,,,
1,step,2.5024,0.178857,5.167838,29.35356,0.0,6.565177,4.139413,6.565177,0.604647,0.587735,,,-1.62358385,False,False,0.6046466827392578,0.5877348780632019,0.604647,0.587735
2,step,2.5024,0.136418,6.053045,40.7147,0.0,11.83702,6.195282,11.83702,0.509256,0.400195,,,-2.61318025,False,False,0.5092560052871704,0.4001953601837158,0.509256,0.400195
3,step,2.5024,0.187116,6.5969809999999995,24.31239,0.6957800000000001,3.958442,3.358787,3.958442,0.531442,0.715999,,,-1.231325625,False,False,0.5314422845840454,0.71599942445755,0.531442,0.715999
4,step,2.5024,0.141316,5.781903,39.6864,0.0,11.444090000000001,7.747565000000001,11.444090000000001,0.521634,0.420473,,,-2.5362454999999997,False,False,0.5216344594955444,0.42047321796417236,0.521634,0.420473
5,step,3.7536,0.182688,9.704664999999999,22.56626,1.23646,3.188094,4.157196,3.188094,0.44505,0.772872,,,-1.2153611500000001,False,False,0.4450496435165405,0.7728716135025024,0.44505,0.772872
6,step,2.5024,0.163186,10.09976,25.36239,0.6215390000000001,4.540826,5.967068,4.540826,0.426785,0.661121,,,-1.3277781,False,False,0.42678549885749817,0.6611214876174927,0.426785,0.661121
7,step,2.5024,0.193525,5.51122,25.5933,0.33532199999999995,4.466423,3.730406,4.466423,0.603496,0.686673,,,-1.2848814499999999,False,False,0.603495717048645,0.6866729259490967,0.603496,0.686673
8,step,2.5024,0.1953,4.608915,26.75339,0.0286274,4.997265,4.582447999999999,4.997265,0.645759,0.656244,,,-1.3464725,False,False,0.6457586288452148,0.6562439799308777,0.645759,0.656244
9,step,3.7536,0.188023,8.013954,22.92603,1.08685,3.321679,3.480121,3.321679,0.488492,0.764997,,,-1.222993625,False,False,0.4884919822216034,0.7649968266487122,0.488492,0.764997
10,step,3.7536,0.213799,9.120443999999999,18.85982,2.1603100000000004,1.495344,3.92976,1.495344,0.473534,0.951793,,,-1.0120672,False,True,0.473534494638443,0.9517925977706909,0.473534,0.951793
